1  2 3  4  5   6  7  8   9  10  11 12 13  14  15  16  17  18 19 20  21  22 23  24  25 26  27  
-3.8  -8.0 -16.1  -3.5  -3.4   2.5  -0.2  -3.0   0.7  -0.3  -4.4 -14.7 -15.3  -7.8  -4.0  -3.4  -3.2  -0.9 -15.5 -10.3 -11.2  -5.4  -7.7  -7.0  -4.3   2.0   2.6  
  -6.0  -7.0 -21.8  -6.7  -3.5   0.5  -2.6  -5.7  -1.6  -2.5  -6.0 -17.4 -15.3  -9.0  -7.4  -5.2  -5.6  -2.2 -18.5 -13.9 -14.0  -9.9 -10.8 -10.2  -7.8   0.4   1.3  
  -2.8  -4.8 -13.4  -5.4  -2.1   1.9  -0.4  -1.7   1.5   0.9  -1.5 -11.9  -9.4  -4.9  -3.3  -3.5  -3.4  -1.9 -11.3  -8.0  -9.4  -5.6  -6.5  -6.8  -5.4   3.0   4.3  
  -0.9  -4.6  -5.9  -1.3  -0.4   3.8   2.6   2.0   5.4   4.8   3.2  -6.8  -4.6  -1.0   2.2   1.0   2.9   1.5  -5.6  -3.0  -3.5  -2.1  -2.3  -1.9  -0.9   6.1   8.0  
   1.9  -2.6  -1.4  -0.3   2.9   4.9   4.2   3.2   6.4   5.6   4.8  -1.8   0.4  -1.0   3.7   3.1   3.7   2.9  -1.1   0.0  -0.2   0.4   1.4   1.1   1.9   6.3   7.7  
   1.2  -4.3  -5.1  -2.0   2.1   4.2   3.7   3.0   5.1   4.2   3.1  -5.1  -2.7  -0.2   2.0   1.8   2.3   2.4  -4.0  -0.8  -1.3  -0.1   0.1   0.2   1.3   4.9   6.9   
   2.9  -1.5  -3.6   0.7   5.1   8.5   6.5   4.7   6.8   6.2   1.9  -3.5  -1.3   2.4   3.5   4.4   4.1   5.6  -1.8   1.1   0.2   2.9   1.8   1.8   3.8   7.2   7.9  
  -2.0  -6.8 -15.1  -2.9   0.4   6.5   3.9   1.5   6.2   6.5   1.2 -13.5  -8.8  -1.3   2.8   2.3   3.2   4.2 -12.7  -6.9  -7.3  -1.8  -4.2  -3.6   0.1   6.8   8.5  
  -6.8  -6.8 -22.6  -8.3  -5.6   1.7  -2.2  -4.9   0.6   0.4  -5.2 -20.8 -22.0 -10.8  -4.1  -3.2  -2.0  -0.4 -20.5 -16.5 -18.6 -11.2 -15.1 -15.0  -8.1   2.3   4.4  
  -5.1  -3.9 -16.2  -5.2  -4.0   1.9  -1.1  -4.1   0.5  -0.1  -6.9 -15.5 -16.5  -8.6  -6.1  -4.6  -2.9  -1.7 -14.6 -12.5 -12.8  -9.7 -11.0 -10.6  -7.9   1.6   3.3  
  -4.7  -3.7 -17.4  -8.2  -4.2   0.3  -3.4  -6.0  -1.8  -3.5  -7.8 -17.8 -17.9 -10.3  -9.9  -9.2  -9.3  -6.3 -18.9 -15.7 -16.7 -12.4 -14.6 -14.8 -12.4   2.2   3.9  
  -0.6  -3.5 -10.3  -2.5   0.7   3.5   1.8   0.3   3.4   1.7  -1.1  -8.3  -5.3  -3.9  -2.5  -1.6  -0.7  -1.4  -7.8  -6.6  -6.5  -3.5  -4.3  -4.3  -3.2   3.6   5.9  
  -1.1  -4.7  -7.5  -3.2   0.3   4.0   3.3   2.6   5.0   3.9   4.3  -7.4  -4.5  -0.6   2.7   0.8   1.6   1.4  -6.6  -3.1  -2.7  -1.1  -0.8  -0.6   0.7   4.4   5.3  
   5.0  -0.9   4.6   3.3   6.7   7.8   8.1   8.6   9.6   9.2  11.2   3.8   5.2   7.1  10.2  10.3  10.8   9.2   6.0   6.8   7.8   8.2   8.8   9.0   8.7   8.3   9.4  
   4.1   0.9  -0.5   2.5   6.1   9.8   7.7   5.8   9.6   9.4   6.1  -0.3   0.7   4.3   6.7   7.7   6.6   8.6  -0.7   2.2   1.7   3.9   3.5   3.4   5.3   9.8  11.5  
   1.9   0.4  -6.0   0.4   3.1   7.9   5.2   4.0   7.2   6.8   3.0  -6.2  -6.9   0.4   4.0   3.9   4.0   4.9  -6.7  -2.7  -3.3   0.0  -0.5  -0.7   1.8   6.6   7.4  
  -1.9  -1.2 -11.1  -3.4   0.1   5.2   1.6   0.4   3.7   3.1  -1.0 -10.6 -12.4  -3.8   0.2  -0.1   0.5   0.1 -13.5  -9.5 -12.1  -5.9  -9.1  -7.6  -4.4   5.0   5.6  
  -3.9  -7.2 -20.9  -4.4  -2.8   1.4  -2.0  -5.8  -0.2  -0.5  -4.0 -16.7 -16.4 -10.7  -4.7  -4.6  -3.6  -1.7 -18.0 -12.2 -12.9  -8.1 -10.8 -11.1  -8.7   2.8   4.0  
  -5.3 -11.9 -20.3  -6.0  -4.8   1.8  -1.8  -4.0   1.0   0.2  -6.5 -16.6 -16.9 -10.4  -6.9  -5.2  -4.2  -2.8 -16.0 -12.4 -13.9  -9.1 -10.4 -10.7  -7.9   2.7   3.2 
   1.2  -4.3  -5.1  -2.0   2.1   4.2   3.7   3.0   5.1   4.2   3.1  -5.1  -2.7  -0.2   2.0   1.8   2.3   2.4  -4.0  -0.8  -1.3  -0.1   0.1   0.2   1.3   4.9   6.9
